phase,epoch,train_loss,train_acc,val_loss,val_acc
P1,1,0.9638984753535345,41.02564102564102,0.9845725562837389,66.66666666666666
P1,2,0.8513186956063296,41.02564102564102,0.8669044441647,77.77777777777779
P1,3,0.7859547229913565,51.28205128205128,0.7956342962053087,88.88888888888889
P1,4,0.7354566011673365,61.53846153846154,0.740479932890998,88.88888888888889
P1,5,0.6584501984791878,65.38461538461539,0.7067800958951315,88.88888888888889
P1,6,0.6411263209122878,71.7948717948718,0.6877652605374655,88.88888888888889
P1,7,0.6722817298693534,70.51282051282051,0.6902655363082886,88.88888888888889
P1,8,0.6061319494858767,78.2051282051282,0.6843222379684448,94.44444444444444
P2,1,0.6603057170525576,75.64102564102564,0.6303388675053915,94.44444444444444
P2,2,0.5866172160857763,79.48717948717949,0.6446602212058173,88.88888888888889
P2,3,0.5657349977737818,84.61538461538461,0.634029765923818,88.88888888888889
P2,4,0.5719322852599316,80.76923076923077,0.6018701063262092,94.44444444444444
P2,5,0.5801386619225527,82.05128205128204,0.5772844089402093,94.44444444444444
P2,6,0.5244106314121149,85.8974358974359,0.5794679058922662,94.44444444444444
P2,7,0.5144250698578663,89.74358974358975,0.5561709933810763,94.44444444444444
P2,8,0.48942555219699174,88.46153846153845,0.5355274346139696,94.44444444444444
P2,9,0.4975098738303551,87.17948717948718,0.5427810284826491,94.44444444444444
P2,10,0.42957761654487026,92.3076923076923,0.5451178087128533,88.88888888888889
P2,11,0.4635957036262903,93.58974358974359,0.5179335276285807,94.44444444444444
P2,12,0.4506578009862166,93.58974358974359,0.5158878498607211,94.44444444444444
P2,13,0.404981119510455,96.15384615384616,0.504547205236223,94.44444444444444
P2,14,0.4983383654019771,92.3076923076923,0.5042110350396898,88.88888888888889
P2,15,0.41845930081147414,97.43589743589743,0.4937196771303813,94.44444444444444
P2,16,0.45810347489821607,91.02564102564102,0.5027055144309998,94.44444444444444
P2,17,0.4169161678888859,94.87179487179486,0.4818531605932448,94.44444444444444
P2,18,0.43079851529537105,93.58974358974359,0.4877159661716885,94.44444444444444
P2,19,0.3736293163055029,97.43589743589743,0.47472341855367023,94.44444444444444
P2,20,0.3974051345617343,92.3076923076923,0.47706472873687744,94.44444444444444
P2,21,0.385042300591102,97.43589743589743,0.4724871383772956,94.44444444444444
P2,22,0.39203694997689664,96.15384615384616,0.47026995486683315,94.44444444444444
P2,23,0.3647682651495322,93.58974358974359,0.46868056058883667,94.44444444444444
P2,24,0.36197725091225064,94.87179487179486,0.47082649336920845,94.44444444444444
P2,25,0.3648422559102376,97.43589743589743,0.4604940348201328,94.44444444444444
P2,26,0.42551506482637846,93.58974358974359,0.4676118956671821,88.88888888888889
P2,27,0.35805477851476425,96.15384615384616,0.46238533324665493,94.44444444444444
P2,28,0.38679933547973633,97.43589743589743,0.45687513881259495,94.44444444444444
P2,29,0.37533827469899106,92.3076923076923,0.45671725935406154,94.44444444444444
P2,30,0.36907002864739835,96.15384615384616,0.4564407600296868,94.44444444444444
P2,31,0.3498844771813124,97.43589743589743,0.45982221100065446,88.88888888888889
P2,32,0.3923214398897611,94.87179487179486,0.450522952609592,94.44444444444444
P2,33,0.3891877929369609,93.58974358974359,0.45072099897596574,94.44444444444444
P2,34,0.3808989188609979,96.15384615384616,0.44898350371254814,94.44444444444444
P2,35,0.35727038444616854,100.0,0.44909870624542236,94.44444444444444
P2,36,0.36104100331282,97.43589743589743,0.454312351014879,88.88888888888889
P2,37,0.3265785276889801,98.71794871794873,0.4498469862673018,94.44444444444444
P2,38,0.3712896697032146,94.87179487179486,0.45319096909628975,94.44444444444444
P2,39,0.38000478652807385,96.15384615384616,0.4554474519358741,94.44444444444444
P2,40,0.37419673876884657,94.87179487179486,0.4497216542561849,94.44444444444444
