frame_abs,frame_rel,time_s,mask_pixels,mask_ratio,temp_mean,temp_min,temp_max
896,116,35.840,28772,1.50,122.61,16.35,227.25
897,117,35.880,29077,1.51,129.70,16.75,227.35
898,118,35.920,24356,1.27,128.38,17.25,230.45
899,119,35.960,11738,0.61,135.83,26.25,228.25
900,120,36.000,20704,1.08,99.03,18.55,230.45
901,121,36.040,14351,0.75,113.70,20.15,231.15
902,122,36.080,15692,0.82,113.15,17.25,232.35
903,123,36.120,16900,0.88,113.51,14.95,235.95
904,124,36.160,19132,1.00,110.89,14.25,237.85
905,125,36.200,22543,1.17,114.87,14.95,238.55
906,126,36.240,27393,1.43,125.80,14.25,238.65
907,127,36.280,20335,1.06,116.05,14.25,239.05
908,128,36.320,8831,0.46,60.28,15.45,230.35
909,129,36.360,8047,0.42,55.94,15.95,237.55
910,130,36.400,8036,0.42,58.73,15.45,244.35
911,131,36.440,29250,1.52,75.78,16.75,252.55
912,132,36.480,29484,1.54,65.26,16.75,245.95
913,133,36.520,31798,1.66,71.81,16.75,240.55
914,134,36.560,35351,1.84,71.92,15.45,245.75
915,135,36.600,40152,2.09,64.96,14.95,230.65
916,136,36.640,39064,2.03,65.89,14.55,232.35
917,137,36.680,40433,2.11,68.01,12.35,233.95
918,138,36.720,46272,2.41,71.99,11.75,233.75
919,139,36.760,50048,2.61,76.16,11.75,233.35
920,140,36.800,43166,2.25,77.83,12.35,235.15
921,141,36.840,50150,2.61,80.07,11.75,252.55
922,142,36.880,47141,2.46,85.72,11.75,250.65
923,143,36.920,42040,2.19,87.43,12.35,250.75
924,144,36.960,39280,2.05,80.38,11.75,248.15
925,145,37.000,40234,2.10,78.91,11.05,250.95
926,146,37.040,31681,1.65,79.42,14.55,250.55
927,147,37.080,27960,1.46,78.12,16.35,247.85
928,148,37.120,28698,1.49,81.62,18.05,245.95
929,149,37.160,34781,1.81,97.63,16.35,249.15
930,150,37.200,31916,1.66,98.90,15.95,251.75
931,151,37.240,19005,0.99,91.40,15.95,237.65
932,152,37.280,29293,1.53,110.29,18.05,251.75
933,153,37.320,18740,0.98,139.11,20.15,242.95
934,154,37.360,29603,1.54,121.30,20.15,249.55
935,155,37.400,32328,1.68,128.28,18.55,251.85
936,156,37.440,73907,3.85,107.20,14.25,252.75
937,157,37.480,16399,0.85,134.48,21.45,252.85
938,158,37.520,27825,1.45,119.41,17.55,254.25
939,159,37.560,60068,3.13,110.44,13.25,254.95
940,160,37.600,20504,1.07,108.58,15.95,250.95
941,161,37.640,10417,0.54,47.52,14.95,241.85
942,162,37.680,10647,0.55,58.07,14.55,228.45
943,163,37.720,10312,0.54,59.54,14.95,238.85
944,164,37.760,12269,0.64,78.11,14.95,244.15
945,165,37.800,10185,0.53,80.65,15.45,244.45
946,166,37.840,26934,1.40,92.08,15.45,252.85
947,167,37.880,30164,1.57,96.73,15.95,253.45
948,168,37.920,35517,1.85,91.68,15.95,243.15
949,169,37.960,40880,2.13,95.31,14.25,242.05
